frec(Hz),Transference(dB),Phase(°)
0.1,-11,7.50E+01
0.15,-7.6,67
0.2,-5.7,60
0.2,-5.7,60.5
0.25,-4.4,54.5
0.33,-3,45
0.35,-2.8,44
0.4,-2.3,41
0.5,-1.6,35
0.7,-1,26
1,-0.5,20
1.5,-0.219,15.2
2,-0.2,12
2.5,-0.1,10
3,-0.1,7
3.3,-0.1,7
3.5,-0.1,8
3.7,-0.1,8
4,-0.1,8
7,0,4.9
8,-0.017,4
10,-0.01,4.6
20,-0.008,3.55
30,-0.006,2.61
60,-0.008,2.37
80,-0.035,2.44
100,-0.007,2.55
300,-0.003,1.9
400,0,2.56
800,0,2.43
1000,0,2.5
10000,0.1,1.3
100000,0.097,-0.3
200000,0.1,0.92
500000,0.12,0.11
1000000,0.1,-1.38
1500000,0.1,-3.1
2000000,0.1,-5
3000000,0.0035,-8.78
4000000,-0.0082,-12
5000000,-0.1,-15
7000000,-0.4,-21.8
9000000,-0.7,-29
9000000,-0.7,-29
9500000,-0.8,-30.7
10000000,-0.9,-32.75
12000000,-1.29,-38.9
15000000,-1.9,-45.36
16000000,-2.1,-47.9
18000000,-2.6,-52
19000000,-2.8,-55.15
20000000,-3.2,-58.3
