frecuencia,vin,vout,gain,phase
10,20.2,0.001,-85.123,91.08
30,20.2,0.003,-76.086,88.56
100,20.2,0.010,-65.850,88.92
300,20.2,0.031,-56.421,87.48
1000,20,0.100,-46.021,84.80
2000,20,0.198,-40.087,82.80
3000,19.9,0.295,-36.581,80.68
5000,19.9,0.484,-32.280,74.97
7000,19.9,0.650,-29.719,69.50
10000,19.9,0.880,-27.087,63.00
14000,19.8,1.126,-24.903,54.43
19950,19.8,1.360,-23.263,44.46
25000,19.8,1.500,-22.411,38.16
30000,19.8,1.590,-21.905,33.05
45000,19.8,1.750,-21.073,23.49
60000,19.8,1.820,-20.732,18.47
100000,19.8,1.880,-20.450,11.48
200000,19.9,1.920,-20.311,5.54
330000,20,1.940,-20.265,3.68
500000,20,1.950,-20.220,3.15
700000,20,1.960,-20.175,1.81
1000000,20,1.960,-20.175,1.08
