frec,,,vr
10,20.2,20.19,0.635531274
100,20.2,20.18,0.898665678
1000,20.18,20.05,2.286897462
10000,20.181,17.645,9.79421952
100000,19.54,4.11,19.10286628
3000,20.48,19.37,6.650827016
14000,20.14,15.91,12.34874488
30000,19.64,10.8,16.40395074
60000,19.59,6.34,18.53570878
200000,19.51,2.31,19.37276439
500000,19.82,0.812,19.80335971
1000000,20.05,0.437,20.04523712
45000,19.6,7.81,17.97676
25000,19.37,12.002,15.20358168
19950,19.76,13.69,14.24926314
7000,20.16,18.15,8.775141025
2000,20.47,19.84,5.039374961
5000,20.57,19,7.881935042
300,20.13,20.11,0.89710646
30,20.16,20.14,0.897775027
700000,20.3,0.593,20.29133685
330000,19.53,1.201,19.49303719
